id,ship_name,mmsi,sog,cog,heading,nav_status,lon,lat,width,length,ship_type,p99_speed,iso_flag,iso_anomaly,p99_anomaly,speed_anomaly
7485,ROTTERDAM,245464000,10.0,312.8,314,0,5.77848,58.32331,38,296,60,10.0,1,False,False,False
7491,HK78 HEIDI,244860827,3.0,43.0,511,7,5.45233,52.54694,6,20,30,6.081000000000002,1,False,False,False
7501,ROCKY,244860678,0.2,53.8,511,0,5.63535,52.65511,2,8,33,0.296,1,False,False,False
7548,SCHIEPLUS,244690411,0.0,360.0,511,0,4.32383,51.86748,7,35,80,0.0,1,False,False,False
7570,MARTHA,244730653,0.0,360.0,511,0,4.91446,52.34396,5,31,37,0.0,1,False,False,False
7571,ST ERIK,265625300,0.0,107.1,511,15,11.96555,57.7121,6,35,69,0.0,1,False,False,False
7572,PANORMITIS,352003195,0.2,333.5,247,0,34.59309,32.69721,32,162,70,0.298,1,False,False,False
7579,ROBYN J,367006770,6.1,322.4,320,0,-117.54508,32.95243,8,36,31,6.1,1,False,False,False
7582,MALTA,244790186,7.6,189.0,187,0,5.00883,52.23528,12,110,89,8.9,1,False,False,False
6676,WATERSNIP WN3,244810217,0.0,306.2,511,15,4.90004,52.3996,4,12,55,0.0,1,False,False,False
6719,KOMA,257458720,0.0,0.0,511,7,5.46166,59.21209,4,15,30,4.203999999999999,1,False,False,False
6723,BOS POOL,253000046,0.0,79.9,79,0,4.81022,52.9903,16,72,70,0.0,1,False,False,False
6753,PALMIRO Z,247388500,0.0,180.0,511,3,13.75937,45.66542,10,68,90,0.0,1,False,False,False
6755,DEVEL,244925209,0.0,360.0,511,0,4.41664,51.89649,8,31,69,0.0,1,False,False,False
6765,ESCHWEGE,211404810,4.1,302.8,304,0,11.36498,54.48263,10,66,55,4.1,1,False,False,False
6808,TUG 42,205627000,0.0,54.2,334,0,4.32034,51.31248,12,31,31,0.0,1,False,False,False
6809,RESCUE B MELLGREN,265001160,0.0,206.8,511,0,11.61933,57.77208,3,8,51,0.08799999999999991,1,False,False,False
6811,AMAZONE,244650990,0.0,130.5,123,5,4.59109,51.90182,8,68,79,0.0,1,False,False,False
6813,MILELE,205586990,0.0,42.3,511,0,4.25493,51.5069,9,80,79,0.0,1,False,False,False
6847,SEA WOLF,367317630,0.0,226.7,511,0,-93.9155,29.88577,10,36,52,7.686,1,False,False,False
6849,HARBOUR PRINCESS,316022498,0.0,166.5,511,0,-123.13303,49.29488,8,26,60,6.945,1,False,False,False
6850,ROSE PG,232010199,5.8,169.0,169,0,-63.15802,17.86028,18,105,89,5.8,1,False,False,False
